Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
54,4990418098,Cicima6709 (3/5),0,94.00001,C Auston Matthews C Dylan Larkin D Brock Faber D Mattias Samuelsson G Darcy Kuemper UTIL Brian Dumoulin W Alex DeBrincat W Jason Zucker W Josh Doan,,Morgan Rielly,D,5.73%,14.3
55,4991020694,isupol (2/4),0,93.5,C Dylan Larkin C Morgan Frost D Moritz Seider D Rasmus Andersson G Darcy Kuemper UTIL Brock Boeser W Lucas Raymond W Matt Coronato W Jonathan Huberdeau,,Ben Chiarot,D,5.73%,11
56,4991431035,jagibbs22 (5/5),0,93,C Auston Matthews C John Tavares D Ben Chiarot D Elias-Nils Pettersson G Dennis Hildeby UTIL Aatu Raty W William Nylander W Matthew Knies W Kiefer Sherwood,,Jared McCann,W,5.73%,8
57,4990505262,I_Slewfoot_U (5/5),0,92,C Matty Beniers C Chandler Stephenson D Rasmus Dahlin D Vince Dunn G Darcy Kuemper UTIL Jordan Eberle W Tage Thompson W Kevin Fiala W Jared McCann,,Anze Kopitar,C,5.73%,14.3
58,4991029717,isupol (4/4),0,91.700005,C Dylan Larkin C Morgan Frost D Quinn Hughes D Rasmus Andersson G Dustin Wolf UTIL Conor Garland W Matt Coronato W Brock Boeser W Jonathan Huberdeau,,Easton Cowan,W,5.10%,9.3
59,4990701183,saulgoodman23 (5/5),0,91.6,C Dylan Larkin C Andrew Copp D Moritz Seider D Yan Kuznetsov G Darcy Kuemper UTIL Patrick Kane W Alex DeBrincat W Lucas Raymond W Jason Zucker,,Connor Zary,W,5.10%,1.5
60,4991150938,tecmo27 (2/5),0,91.5,C Auston Matthews C Morgan Frost D Quinn Hughes D Rasmus Andersson G Kevin Lankinen UTIL Kiefer Sherwood W Conor Garland W Brock Boeser W Jake DeBrusk,,Jake McCabe,D,5.10%,6.9
61,4990669426,ariedoz,0,91.299995,C Dylan Larkin C Morgan Frost D Moritz Seider D Rasmus Andersson G Filip Gustavsson UTIL Lucas Raymond W Patrick Kane W Jason Zucker W Emmitt Finnie,,Jordan Eberle,UTIL,5.10%,13
62,4990974363,andyrunsshow,0,90.7,C Andrew Copp C Aatu Raty D Jonas Brodin D Ben Chiarot G Dustin Wolf UTIL Alex DeBrincat W Kirill Kaprizov W Matt Boldy W Patrick Kane,,Alex Tuch,W,5.10%,15.8
63,4990672196,Jack_Of_All_Trades (3/4),0,90.5,C Nazem Kadri C Danila Yurov D MacKenzie Weegar D Brock Faber G Karel Vejmelka UTIL Daniil But W Kirill Kaprizov W Matt Boldy W Kiefer Sherwood,,Brandon Montour,D,5.10%,1.5
64,4991150939,tecmo27 (3/5),0,90.2,C Dylan Larkin C Josh Norris D Rasmus Dahlin D J.J. Moser G Ukko-Pekka Luukkonen UTIL Josh Doan W Tage Thompson W Alex Tuch W Jason Zucker,,Charle-Edouard D'Astous,D,4.46%,7.1
65,4990964679,xPipeDreams,0,89.5,C Anze Kopitar C Morgan Frost D Moritz Seider D Rasmus Andersson G Darcy Kuemper UTIL Alex DeBrincat W Tage Thompson W Patrick Kane W Jordan Greenway,,Matthew Knies,W,4.46%,0
66,4991000640,Jgo99 (1/2),0,88.6,C Dylan Larkin C Josh Norris D Brandon Montour D Yan Kuznetsov G Filip Gustavsson UTIL Lucas Raymond W Alex DeBrincat W Josh Doan W Zach Benson,,Matty Beniers,C,4.46%,2.8
67,4991413824,zelroy,0,87.5,C Dylan Larkin C Joel Eriksson Ek D Bowen Byram D Yan Kuznetsov G Ukko-Pekka Luukkonen UTIL Emmitt Finnie W Kirill Kaprizov W Lucas Raymond W Mats Zuccarello,,Adrian Kempe,W,4.46%,15
68,4991150068,CosaSpeciale (1/5),0,87.29999,C Nazem Kadri C Morgan Frost D Quinn Hughes D Rasmus Dahlin G Kevin Lankinen UTIL Matt Coronato W Conor Garland W Brock Boeser W Jake DeBrusk,,Kevin Lankinen,G,4.46%,-3.5
69,4991019040,isupol (1/4),0,86.6,C Brayden Point C Morgan Frost D Rasmus Andersson D Darren Raddysh G Dustin Wolf UTIL Patrick Kane W Jake Guentzel W Matt Coronato W Jonathan Huberdeau,,Aatu Raty,C,4.46%,6
70,4991150072,CosaSpeciale (5/5),0,86.5,C Joel Eriksson Ek C Anthony Cirelli D J.J. Moser D Charle-Edouard D'Astous G Darcy Kuemper UTIL Linus Karlsson W Nikita Kucherov W Brandon Hagel W Matt Boldy,,MacKenzie Weegar,D,4.46%,6.5
71,4990995636,luckyguesses (2/4),0,86,C Josh Norris C Matty Beniers D Rasmus Dahlin D Jake McCabe G Ukko-Pekka Luukkonen UTIL Jared McCann W Tage Thompson W Alex Tuch W Jordan Eberle,,Filip Hronek,D,4.46%,4.3
72,4991539099,crclngthdrn (2/2),0,85.899994,C Dylan Larkin C Jack McBain D Moritz Seider D Filip Hronek G John Gibson UTIL Lucas Raymond W Alex DeBrincat W Patrick Kane W Michael Carcone,,Simon Edvinsson,UTIL,3.82%,1.3
73,4990531386,AJTruth33 (2/2),0,85.6,C Anthony Cirelli C Morgan Frost D Ben Chiarot D Yan Kuznetsov G Filip Gustavsson UTIL Patrick Kane W Kirill Kaprizov W Brandon Hagel W Mats Zuccarello,,Yegor Sharangovich,W,3.82%,28
74,4991116359,tsteffes78,0,84.8,C Brayden Point C Mikael Backlund D MacKenzie Weegar D Darren Raddysh G Dustin Wolf UTIL Joel Eriksson Ek W Jake Guentzel W Conor Garland W Brock Boeser,,Yan Kuznetsov,D,3.82%,17.6
75,4990527069,h418ov21c (4/5),0,84.4,C Auston Matthews C Morgan Frost D Quinn Hughes D Morgan Rielly G Kevin Lankinen UTIL Conor Garland W Brock Boeser W Jake DeBrusk W Kiefer Sherwood,,Dennis Hildeby,G,3.82%,30.3
76,4989795385,tommybomb7 (4/5),0,83.7,C Nick Schmaltz C Josh Norris D Rasmus Dahlin D Brock Faber G Ukko-Pekka Luukkonen UTIL Dylan Guenther W Clayton Keller W JJ Peterka W Josh Doan,,David Kampf,C,3.18%,3
77,4990573301,BroncsRocks,0,83.6,C Dylan Larkin C Nicolas Roy D Quinn Hughes D Ben Chiarot G Filip Gustavsson UTIL Alex Tuch W Alex DeBrincat W Patrick Kane W Bobby McMann,,Danila Yurov,C,3.18%,1.3
78,4991445676,clockworkted,0,83.5,C Dylan Larkin C Morgan Frost D Moritz Seider D Rasmus Andersson G Dustin Wolf UTIL Patrick Kane W Lucas Raymond W Matt Coronato W Linus Karlsson,,John Marino,D,3.18%,0
79,4990505261,I_Slewfoot_U (4/5),0,82.299995,C Nick Schmaltz C Barrett Hayton D Rasmus Dahlin D Mikhail Sergachev G Karel Vejmelka UTIL Vince Dunn W Clayton Keller W Dylan Guenther W JJ Peterka,,Barrett Hayton,C,3.18%,3
