Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Yanni Gourde (41237951),Yanni Gourde,41237951,C/UTIL,2800,LAK@TBL 12/18/2025 07:00PM ET,TBL,5.24
LW,Andrei Kuzmenko (41238281),Andrei Kuzmenko,41238281,W/UTIL,2800,LAK@TBL 12/18/2025 07:00PM ET,LAK,4.60
D,Charle-Edouard D'Astous (41238669),Charle-Edouard D'Astous,41238669,D/UTIL,2800,LAK@TBL 12/18/2025 07:00PM ET,TBL,5.53
C,Nicolas Roy (41237953),Nicolas Roy,41237953,C/UTIL,2800,TOR@WSH 12/18/2025 07:00PM ET,TOR,4.52
D,Martin Fehervary (41238663),Martin Fehervary,41238663,D/UTIL,2800,TOR@WSH 12/18/2025 07:00PM ET,WSH,6.60
RW,Yegor Chinakhov (41238289),Yegor Chinakhov,41238289,W/UTIL,2700,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,3.88
D,Damon Severson (41238679),Damon Severson,41238679,D/UTIL,2700,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,4.66
D,Matt Kiersted (41238691),Matt Kiersted,41238691,D/UTIL,2700,MIN@CBJ 12/18/2025 07:00PM ET,MIN,7.15
RW,Mark Kastelic (41238293),Mark Kastelic,41238293,W/UTIL,2700,EDM@BOS 12/18/2025 07:00PM ET,BOS,6.28
LW,Andrew Mangiapane (41238295),Andrew Mangiapane,41238295,W/UTIL,2700,EDM@BOS 12/18/2025 07:00PM ET,EDM,3.92
D,Mason Lohrei (41238683),Mason Lohrei,41238683,D/UTIL,2700,EDM@BOS 12/18/2025 07:00PM ET,BOS,6.23
C,Jiri Kulich (41237957),Jiri Kulich,41237957,C/UTIL,2700,PHI@BUF 12/18/2025 07:30PM ET,BUF,6.76
LW,Peyton Krebs (41238299),Peyton Krebs,41238299,W/UTIL,2700,PHI@BUF 12/18/2025 07:30PM ET,BUF,4.05
D,Alex Vlasic (41238677),Alex Vlasic,41238677,D/UTIL,2700,CHI@MTL 12/18/2025 07:00PM ET,CHI,5.31
C,Ridly Greig (41237959),Ridly Greig,41237959,C/UTIL,2700,PIT@OTT 12/18/2025 07:00PM ET,OTT,5.62
LW,Rutger McGroarty (41238297),Rutger McGroarty,41238297,W/UTIL,2700,PIT@OTT 12/18/2025 07:00PM ET,PIT,5.58
RW,Igor Chernyshov (41238301),Igor Chernyshov,41238301,W/UTIL,2700,DAL@SJS 12/18/2025 10:00PM ET,SJS,6.5
D,Timothy Liljegren (41238689),Timothy Liljegren,41238689,D/UTIL,2700,DAL@SJS 12/18/2025 10:00PM ET,SJS,5.67
RW,Nick Bjugstad (41238291),Nick Bjugstad,41238291,W/UTIL,2700,NYR@STL 12/18/2025 08:00PM ET,STL,4.96
D,Logan Mailloux (41238681),Logan Mailloux,41238681,D/UTIL,2700,NYR@STL 12/18/2025 08:00PM ET,STL,3.15
C,Phillip Danault (41237955),Phillip Danault,41237955,C/UTIL,2700,LAK@TBL 12/18/2025 07:00PM ET,LAK,3.48
D,Mikey Anderson (41238685),Mikey Anderson,41238685,D/UTIL,2700,LAK@TBL 12/18/2025 07:00PM ET,LAK,4.66
D,Troy Stecher (41238687),Troy Stecher,41238687,D/UTIL,2700,TOR@WSH 12/18/2025 07:00PM ET,TOR,4.27
LW,Marcus Foligno (41238315),Marcus Foligno,41238315,W/UTIL,2600,MIN@CBJ 12/18/2025 07:00PM ET,MIN,3.42
C,Fraser Minten (41237961),Fraser Minten,41237961,C/UTIL,2600,EDM@BOS 12/18/2025 07:00PM ET,BOS,5.39
LW,Jani Nyman (41238309),Jani Nyman,41238309,W/UTIL,2600,SEA@CGY 12/18/2025 09:00PM ET,SEA,4.11
D,Kevin Bahl (41238697),Kevin Bahl,41238697,D/UTIL,2600,SEA@CGY 12/18/2025 09:00PM ET,CGY,4.90
C,Jake Evans (41237963),Jake Evans,41237963,C/UTIL,2600,CHI@MTL 12/18/2025 07:00PM ET,MTL,4.93
LW,Oliver Moore (41238303),Oliver Moore,41238303,W/UTIL,2600,CHI@MTL 12/18/2025 07:00PM ET,CHI,5.17
